Job 168: Waiting time = 0.0006930999999994469 | Resolution time = 0.0006117999999997181 | Resolution type = Policy
Job 169: Waiting time = 0.0013236000000000914 | Resolution time = 0.0006439000000000306 | Resolution type = Policy
Job 170: Waiting time = 0.001320800000000233 | Resolution time = 1.8999999999991246e-05 | Resolution type = Policy
Job 171: Waiting time = 0.0015854000000006252 | Resolution time = 0.0015631999999996538 | Resolution type = None
Job 172: Waiting time = 0.0009209999999999496 | Resolution time = 0.0008962000000005688 | Resolution type = Policy
Job 173: Waiting time = 0.0023442000000004626 | Resolution time = 0.0023260999999994425 | Resolution type = None
Job 174: Waiting time = 0.0018662999999996543 | Resolution time = 0.0018409000000003672 | Resolution type = None
Job 175: Waiting time = 0.0009670000000001622 | Resolution time = 0.0009475999999999374 | Resolution type = Policy
Job 176: Waiting time = 0.0010953000000002433 | Resolution time = 0.0010327999999999449 | Resolution type = Policy
Job 177: Waiting time = 0.000938699999999848 | Resolution time = 0.0008688000000001139 | Resolution type = Policy
Job 178: Waiting time = 0.002305400000000013 | Resolution time = 0.001374199999999881 | Resolution type = None
Job 179: Waiting time = 0.0030666999999997557 | Resolution time = 0.0007637999999996481 | Resolution type = Policy
Job 180: Waiting time = 0.0033524000000006993 | Resolution time = 0.0002862999999999616 | Resolution type = Policy
Job 181: Waiting time = 0.00444129999999987 | Resolution time = 0.001089600000000246 | Resolution type = None
Job 182: Waiting time = 0.0056091000000000335 | Resolution time = 0.001167200000000257 | Resolution type = None
Job 183: Waiting time = 0.0018940000000000623 | Resolution time = 0.0017276999999999987 | Resolution type = None
Job 184: Waiting time = 0.00249879999999969 | Resolution time = 0.0006369000000008285 | Resolution type = Policy
Job 185: Waiting time = 0.00324010000000019 | Resolution time = 0.0007663999999998339 | Resolution type = Policy
Job 186: Waiting time = 0.0037234000000001544 | Resolution time = 0.0005085000000004669 | Resolution type = Policy
Job 187: Waiting time = 0.004443600000000103 | Resolution time = 0.0007441000000003584 | Resolution type = Policy
Job 188: Waiting time = 0.0003644999999998788 | Resolution time = 0.0003427000000000291 | Resolution type = Policy
Job 189: Waiting time = 0.0019996999999998266 | Resolution time = 0.001959300000000219 | Resolution type = Policy
Job 190: Waiting time = 0.0030048000000002517 | Resolution time = 0.0029882000000007736 | Resolution type = None
Job 191: Waiting time = 0.0016914000000003426 | Resolution time = 0.0016650000000000276 | Resolution type = None
Job 192: Waiting time = 0.0016575000000003115 | Resolution time = 0.0016351000000005556 | Resolution type = Policy
Job 193: Waiting time = 0.0027789000000000286 | Resolution time = 0.0027610000000004575 | Resolution type = None
Job 194: Waiting time = 0.0017594000000000776 | Resolution time = 0.0016286999999994833 | Resolution type = Policy
Job 195: Waiting time = 0.0032800000000001717 | Resolution time = 0.0015484999999992866 | Resolution type = None
Job 196: Waiting time = 0.004456699999999536 | Resolution time = 0.0011849000000001553 | Resolution type = None
Job 197: Waiting time = 0.005824500000000121 | Resolution time = 0.0013902999999997334 | Resolution type = None
Job 198: Waiting time = 0.0016392999999998992 | Resolution time = 0.001617099999999816 | Resolution type = Policy
Job 199: Waiting time = 0.001241600000000176 | Resolution time = 0.0012047000000006136 | Resolution type = Policy
Job 200: Waiting time = 0.0007327999999997559 | Resolution time = 0.0002851000000001491 | Resolution type = Policy
Job 201: Waiting time = 0.0012143999999993937 | Resolution time = 0.0004917000000004279 | Resolution type = Policy
Job 202: Waiting time = 0.003704699999999228 | Resolution time = 0.00248489999999979 | Resolution type = None
Job 203: Waiting time = 0.004238399999999309 | Resolution time = 0.0005334999999995205 | Resolution type = Policy
Job 204: Waiting time = 0.00546459999999982 | Resolution time = 0.0012313999999999936 | Resolution type = Policy
Job 205: Waiting time = 0.007185500000000289 | Resolution time = 0.0017198999999994413 | Resolution type = None
Job 206: Waiting time = 0.008839299999999994 | Resolution time = 0.0016550000000004061 | Resolution type = None
Job 207: Waiting time = 0.0013063999999998188 | Resolution time = 0.0012807999999999709 | Resolution type = Policy
Job 208: Waiting time = 0.001639799999999525 | Resolution time = 0.0016220999999987384 | Resolution type = None
Job 209: Waiting time = 0.0021141000000000076 | Resolution time = 0.0020828000000001623 | Resolution type = Policy
Job 210: Waiting time = 0.0007329000000000363 | Resolution time = 0.0006110000000001392 | Resolution type = Policy
Job 211: Waiting time = 0.0020194000000000045 | Resolution time = 0.0013047999999997728 | Resolution type = None
Job 212: Waiting time = 0.002344299999999855 | Resolution time = 0.00032739999999975566 | Resolution type = Policy
Job 213: Waiting time = 0.0035730999999996627 | Resolution time = 0.0012284999999998547 | Resolution type = None
Job 214: Waiting time = 0.004810499999999607 | Resolution time = 0.0012517000000000778 | Resolution type = None
Job 215: Waiting time = 0.005303300000000455 | Resolution time = 0.0005085999999998592 | Resolution type = Policy
Job 216: Waiting time = 0.00048629999999949547 | Resolution time = 0.0004759000000005287 | Resolution type = Policy
Job 217: Waiting time = 0.0010553999999993735 | Resolution time = 0.0010381000000005969 | Resolution type = Policy
Job 218: Waiting time = 0.0006278000000001782 | Resolution time = 0.0006040999999994412 | Resolution type = Policy
Job 219: Waiting time = 0.0007586000000001647 | Resolution time = 0.0007367000000000345 | Resolution type = Policy
Job 220: Waiting time = 0.0005888000000000559 | Resolution time = 0.0005649999999999267 | Resolution type = Policy
Job 221: Waiting time = 0.002719299999999869 | Resolution time = 0.002668399999999238 | Resolution type = None
Job 222: Waiting time = 0.0003712999999994082 | Resolution time = 0.0003085999999994371 | Resolution type = Policy
Job 223: Waiting time = 0.0009373999999997551 | Resolution time = 0.0005809999999994986 | Resolution type = Policy
Job 224: Waiting time = 0.002365999999999424 | Resolution time = 0.0014292000000004634 | Resolution type = None
Job 225: Waiting time = 0.0036885999999993757 | Resolution time = 0.0013212999999998587 | Resolution type = None
Job 226: Waiting time = 0.003719800000000717 | Resolution time = 3.2100000000312434e-05 | Resolution type = Policy
Job 227: Waiting time = 0.0030909000000001186 | Resolution time = 0.00304540000000042 | Resolution type = None
Job 228: Waiting time = 0.0005766000000004823 | Resolution time = 0.0005486000000001212 | Resolution type = Policy
Job 229: Waiting time = 0.0011764999999996917 | Resolution time = 0.0011556000000005895 | Resolution type = Policy
Job 230: Waiting time = 0.0007510999999995605 | Resolution time = 0.0005449999999997956 | Resolution type = Policy
Job 231: Waiting time = 0.0020797000000003507 | Resolution time = 0.0013380000000005055 | Resolution type = None
Job 232: Waiting time = 0.0033561999999998093 | Resolution time = 0.001309600000000799 | Resolution type = None
Job 233: Waiting time = 0.0007183999999993418 | Resolution time = 0.0006499999999993733 | Resolution type = Policy
Job 234: Waiting time = 0.0010855000000002946 | Resolution time = 0.0010213999999999501 | Resolution type = Policy
Job 235: Waiting time = 0.0013502000000000791 | Resolution time = 0.0013246000000002311 | Resolution type = Policy
Job 236: Waiting time = 0.00145660000000003 | Resolution time = 0.0014392999999994771 | Resolution type = None
Job 237: Waiting time = 0.003240900000000657 | Resolution time = 0.0032247999999999166 | Resolution type = None
Job 238: Waiting time = 0.00020959999999980994 | Resolution time = 0.0001917000000002389 | Resolution type = Policy
Job 239: Waiting time = 0.0008508000000002625 | Resolution time = 0.0008369999999997546 | Resolution type = Policy
Job 240: Waiting time = 0.001439799999999991 | Resolution time = 0.0011974999999999625 | Resolution type = Policy
Job 241: Waiting time = 0.0021868999999998806 | Resolution time = 0.0007676999999999268 | Resolution type = Policy
Job 242: Waiting time = 0.0015708999999999307 | Resolution time = 0.001547299999999474 | Resolution type = Policy
Job 243: Waiting time = 0.0016473000000001292 | Resolution time = 0.0015853000000003448 | Resolution type = None
Job 244: Waiting time = 0.004322099999999551 | Resolution time = 0.002676899999999982 | Resolution type = None
